DeliveryTime,Address,DeliveryID
1002,O,1497623
1002,G,7673288
1003,X,8207422
1003,Y,2034187
1005,D,5846962
1006,C,4491598
1008,J,4029191
1011,U,3614954
1011,A,1174502
1012,M,6596098
1013,T,3582901
1013,Q,1317171
1015,K,5749038
1015,J,7805441
1016,B,1785070
1016,V,5904285
1018,O,9253959
1018,E,1234101
1019,E,9011487
1020,Z,9494868
1020,P,4201823
1021,E,1653654
1022,J,8869306
1024,A,3551778
1024,C,8070747
1025,P,9805685
1025,V,3766822
1029,D,6295430
1029,T,1683896
1029,A,2209121
1031,K,6255347
1031,T,4696682
1031,W,8812826
1031,P,6263591
1032,R,5047131
1033,G,4170081
1033,D,7873264
1034,K,1195073
1034,Z,7174705
1034,B,2322473
1035,R,6387448
1036,N,3460434
1037,W,6042552
1038,O,2704442
1038,F,1929839
1039,C,6576788
1040,E,8919742
1043,N,4724210
1043,G,6113539
1044,C,7552967
1046,N,6483201
1047,B,9611774
1047,R,3363002
1048,P,7534829
1049,H,1667075
1051,C,5274589
1052,B,1627775
1052,X,2051259
1053,U,2426763
1053,H,6934342
1053,Y,6086022
1053,C,7655064
1054,O,5807278
1055,E,5818521
1056,R,3561121
1058,P,7982016
1058,D,2051401
1059,P,9352472
1100,D,2741956
1100,S,1661377
1101,N,4540161
1102,M,9785684
1106,W,1579762
1107,W,5526121
1108,I,8050750
1109,I,6029384
1109,J,5641421
1110,B,4903285
1110,N,7114730
1116,M,7304260
1117,N,6138647
1118,Q,2518020
1118,R,5007396
1122,V,8307340
1123,Z,4305872
1123,Q,8144433
1123,N,1960524
1123,D,9974294
1123,Q,9008404
1123,C,7217042
1125,V,4642983
1126,G,2167203
1127,K,5119550
1127,B,8570000
1128,B,1822136
1129,M,3507339
1129,E,7698517
1129,D,5439451
1130,F,1892297
1131,A,6033716
1133,M,7100276
1134,M,9872063
1134,Y,7222527
1138,O,2863571
1138,J,6120815
1139,G,8814681
1142,E,5931294
1143,Y,1729884
1144,O,4542945
1144,B,9306047
1145,O,8098877
1146,U,1534695
1147,L,6354577
1149,U,2896261
1149,T,4801178
1149,J,2387591
1150,G,4078990
1151,A,1193483
1152,G,1163220
1153,M,7312428
1153,O,8625784
1154,M,7674009
1156,O,2729728
1157,G,5302054
1157,I,7518689
1159,N,9031782
1159,D,5235300
1159,P,4883591
1200,Z,8025431
1202,K,4180673
