DeliveryTime,Address,DeliveryID
1002,O,1497623
1013,T,3582901
1015,K,5749038
1029,D,6295430
1046,N,6483201
1100,D,2741956
1109,I,6029384
1110,B,4903285
1123,Z,4305872
1134,M,9872063
1159,N,9031782
1200,Z,8025431
1211,P,3782059
1219,B,5921840
1226,V,1340297
1231,M,2387401
1234,T,6290487
1247,L,9834625
1252,T,8309452
1257,L,8294735
1306,C,7802431
1310,S,8025941
1322,D,2039184
1330,Q,8549102
1339,U,5938740
1349,A,2840193
1355,O,2048916
1404,C,7894231
1421,I,9840623
1425,B,2043185
1431,R,3194203
1436,R,9841326
1442,E,4321598
1448,X,9823401
1459,N,9027341
1503,E,5710928
1505,P,5739814
1515,X,3180247
1520,L,7021548
1527,H,9420573
1549,S,2738514
1551,C,7358016
1559,E,8903471
1610,X,4738201
1617,V,8193401
1619,F,5918302
1622,Y,7502961
1628,Y,3048951
1648,C,7321945
1705,I,9721540
1709,W,5704982
1711,Z,4982317
1736,J,6419025
1742,D,8934102
1744,M,6928041
1749,F,2098437
1805,W,7023819
1811,K,3792056
1814,W,7124691
1820,L,6598431
1825,G,3902184
1831,G,8249751
1842,U,3209754
1845,H,3782640
1902,J,9501247
1904,N,6895237
1911,X,2084357
1932,P,6749132
1937,Z,7048916
1939,B,5890134
603,W,6205497
627,O,1842057
634,Q,4579820
639,E,9802453
642,T,3241879
650,Y,4521980
702,Q,8749203
708,V,5410938
711,J,9248167
720,G,1892043
722,F,6982450
730,K,9043165
733,J,5948301
748,S,2340975
759,A,4935618
803,L,1582309
807,Y,7592314
812,F,4302871
832,R,2309847
836,M,7891205
844,O,7509214
906,G,5049378
912,A,6093218
925,K,8324902
928,I,7105396
930,H,3647021
937,A,1792048
941,S,1938427
950,Q,6985240
958,R,5643209
